Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Университет Ливерпуля,117,Великобритания,27250.0,26964.0,33347.5,176,168,119
Городской университет Гонконга,118,Гонконг,15366.0,15366.0,,70,82,120
Техасский аграрно-технический университет,119,США,24995.5,22028.5,,134,118,161
Лондонский Университет королевы Марии,120,Великобритания,21850.5,20834.0,35952.0,145,135,204
Стокгольмский университет,121,Швеция,9649.0,9657.5,,118,185,98
Даремский университет,122,Великобритания,23978.5,27631.0,31760.0,78,174,302
Университет штата Мичиган,123,США,41465.0,35000.0,,136,116,162
Флоридский университет,124,США,22613.0,29388.0,30126.0,168,132,121
Университет Аделаиды,125,Австралия,37431.0,38090.5,,89,111,163
Научно-технический университет Китая,126,Китай,4067.0,4380.5,,486,57,64
Делфтский технический университет,127,Нидерланды,10817.0,13521.5,,47,48,164
Университет Эмори,128,США,33133.5,33680.0,48243.5,166,106,122
Университет Вандербильта,129,США,53795.5,47406.5,,261,92,66
Геттингенский университет,130,Германия,692.0,692.0,692.0,232,165
Университет Кардиффа,131,Великобритания,29250.5,27059.0,33220.5,154,190,166
Университет Вирджинии,132,США,12997.0,14996.0,,260,166,205
Университет Буэнос-Айреса,133,Аргентина,1000.0,1000.0,,95,206
Амстердамский свободный университет,134,Нидерланды,9086.5,7445.0,,207,125,167
Технион - Израильский технологический институт,135,Израиль,15000.0,7500.0,6500.0,392,351,79
Университет им. Эразма Роттердамского,136,Нидерланды,10384.5,10005.5,33533.0,176,99,88
Университет Неймегена,137,Нидерланды,7572.0,9194.5,,222,140,123
Оклендский университет,138,Новая Зеландия,39162.5,33917.5,24305.5,68,150,207
Университет Париж-Юг 11,139,Франция,203.0,241.5,
Университет Хоккайдо,140,Япония,3420.0,3420.0,,196,352
Рочестерский университет,141,США,42988.0,37989.5,,224,208
Королевский технологический институт,142,Швеция,12382.0,11058.5,,73,97,209
Технологический институт Карлсруэ,143,Германия,16934.5,10985.0,9735.5,119,140,303
Лувенский католический университет,144,Бельгия,4489.0,4489.0,,180,168,210
Венский университет,145,Австрия,1623.0,1598.0,,130,119,124
Университет Йорка,146,Великобритания,26608.0,17175.5,17963.5,167,147,304
Университет Корё,147,Республика Корея,9208.0,6700.5,,79,202,211
Университет Ёнсе,148,Республика Корея,12914.0,11408.0,9902.0,76,76,212
Университет Аризоны,149,США,26054.0,24854.5,39889.5,285,155,168
Боннский университет,150,Германия,294.0,294.0,,239,91,67
Эксетерский университет,151,Великобритания,15000.0,14000.0,,153,177
Западный резервный университет Кейза (Университет Кейс Вестерн Резерв),152,США,40989.0,39989.5,,255,164,169
Бернский университет,153,Швейцария,1671.0,1589.5,1695.0,126,116,125
Университет Барселоны,154,Испания,6034.0,5255.5,,164,152,213
Вагенингенский университет,155,Нидерланды,13521.0,14873.5,,151,64,170
Тюбингенский университет (Университет Эберхарда и Карла),156,Германия,3245.0,2434.0,,213,171
Страсбургский университет,157,Франция,2996.0,1775.0,,421,172
Накинский университет,158,Китай,2622.0,2622.0,,141,96
Университет Сонгюнгван,159,Республика Корея,10433.0,11372.5,,145,145,173
Университет штата Нью-Джерси имени Г. Рутгерса в Нью-Брансуике,160,США,12997.0,13996.5,,701
Иллинойский университет в Чикаго,161,США,33095.0,29573.0,24731.0,323,203,305
Абердинский университет,162,Великобритания,42098.5,30172.0,,208,204,214
Университет Сассекса,163,Великобритания,26043.0,18024.0,,218,205,215
"Политехническая школа, Паритек",164,Франция,18173.0,16117.5,
Университет штата Аризона,165,США,23087.5,21560.0,,179,182,126
Университет Кюсю,166,Япония,3600.0,3600.0,,164,302,306
Лозаннский университет,167,Швейцария,1292.0,1204.0,,220,143,127
Франкфуртский университет,168,Германия,562.0,562.0,,302,206,174
Университет Массачусетса в Амхерсте,169,США,26993.0,26993.0,,175
Рейнско-Вестфальский технический университет Ахена,170,Германия,541.0,270.5,,106,90,216
Университет Ватерлоо,171,Канада,37113.0,25170.5,14423.5,112,158,176
Университет Тафтса,172,США,62037.0,41849.5,,379,191,177
Тель-Авивский университет,173,Израиль,14996.0,12746.5,,215,207,217
Норвежский университет естественных и технических наук,174,Норвегия,,,,292,303,128
Национальный университет Цинь Хуа,175,Тайвань,1000.0,1000.0,1000.0,233,401,401
Дартмутский колледж,176,США,58937.0,58937.0,,237,161,307
Вестфальский университет имени Вильгельма,177,Германия,584.0,584.0,,384,193,218
Национальный автономный университет Мексики,178,Мексика,1000.0,1000.0,,93,801,219
Калифорнийский университет в Санта Круз,179,США,31018.0,23058.0,,332,208,178
Университет Париж VII — Дени Дидро,180,Франция,203.0,240.0,,236,152,69
Ньюкаслский университет,181,Великобритания,28320.0,18120.0,17274.0,110,168,220
Римский университет Ла Сапиенца,182,Италия,3052.0,3107.5,,134,181,129
Индианский университет в Блумингтоне,183,США,39439.0,39318.0,,313,179
Калифорнийский университет в Риверсайде,184,США,45252.0,31471.5,50818.5,404,251,221
Сент-Эндрюсский университет,185,Великобритания,38687.5,28553.0,,95,193,308
Гамбургский университет,186,Германия,677.0,338.5,,205,136,222
Университет Маастрихта,187,Нидерланды,12665.5,15153.5,21526.5,138,223
Кейптаунский университет,188,ЮАР,4860.0,4901.5,,173,167,224
Университет Отаго,189,Новая Зеландия,24338.0,20872.0,,206,304,402
Бергенский университет,190,Норвегия,101.0,50.5,,281,252,309
Университет Короля Сауда,191,Саудовская Аравия,1000.0,1000.0,,203,402,130
Автономный университет Мадрида,192,Испания,7381.0,6190.5,,199,353,310
"Университет имени Жозефа Фурье, (Гренобль 1 )",193,Франция,204.0,243.0,
Пхоханский университет науки и технологии,194,Республика Корея,8877.0,8877.0,,100,149,311
Миланский политехнический институт,195,Италия,1731.0,1568.5,,123,209,225
Автономный университет Барселоны,196,Испания,3277.5,4835.5,11877.5,149,210,312
Университет Западной Онтарио,197,Канада,18049.0,18049.0,,114,211,313
Нотрдамский университет,198,США,42988.0,42988.0,,304,199,403
Гётеборгский университет,199,Швеция,22868.5,19555.0,,187,131
Брюссельский свободный университет(VUB),200,Бельгия,1568.0,1568.0,,259,212,314
Университет Калгари,201,Канада,13319.0,11269.5,,182,213,226
Болонский университет,202,Италия,2921.0,2921.0,,154,155,227
Университет Куинс,203,Канада,42237.0,33253.5,,209,228
Гонконгский политехнический университет,204,Гонконг,15366.0,15366.0,,65,87,180
Технический университет Эйндховена,205,Нидерланды,10817.0,13521.5,,124,168,404
Университет Цукубы,206,Япония,4035.0,4034.5,,355,354,229
Ланкастерский университет,207,Великобритания,11000.0,11000.0,,122,155,315
Университет им. Саймона Фрейзера,208,Канада,18587.5,11848.5,,318,253,316
Университет Комплутенсе в Мадриде,209,Испания,,,,171,501,317
Технический университет Дрездена,210,Германия,262.0,631.0,,246,161,230
Университет Макуайри,211,Австралия,24800.0,20776.5,,130,180,231
Университет Майами,212,США,48395.5,32343.5,50556.5,278,318
Пекинский педагогический университет,213,Китай,4999.0,7108.5,,272,177,181
Чалмерский Университет Технологий,214,Швеция,21000.0,10500.0,,129,189,405
Университет Лестера,215,Великобритания,22565.5,19017.5,21971.0,272,214,319
Университет Восточной Англии,216,Великобритания,24917.0,26991.0,,295,254,232
Университет Вуллонгонга,217,Австралия,21971.5,18022.0,,162,215,233
Университет Малайя,218,Малайзия,21294.0,21022.5,,65,255,406
Индийский научный институт,219,Индия,,,,225,216,320
Университет Штутгарта,220,Германия,357.0,1801.0,,312,256,321
Университет короля Абдулазиза,221,Саудовская Аравия,,,,143,257,182
Дублинский университетский колледж,222,Ирландия,34393.5,30715.5,18930.0,171,217,322
Миланский университет,223,Италия,1105.5,1105.5,,276,355,183
Университет Чжуншань имени Сунь Ятсена,224,Китай,3174.0,3174.0,,323,218,73
Университет Рединга,225,Великобритания,18271.5,19878.5,,169,219,323
университет Северной Каролины в Роли,226,США,29220.0,29451.0,,274,258,234
Университет Падуи,227,Италия,2786.0,1736.0,5185.5,219,220,184
Университет Данди,228,Великобритания,28361.5,26760.5,24674.0,441,305,407
Университет Юты,229,США,25754.0,22450.0,47092.5,441,221,132
Университет Айовы,230,США,19995.0,19995.0,,491,222,235
Университет Экс-Марсель,231,Франция,203.0,2140.5,,387,356,185
Льежский Университет,232,Бельгия,4516.0,2258.0,,421
Университет Дальхауз,233,Канада,14873.5,15983.0,,298,306,324
Гавайский университет в Маноа,234,США,37493.0,37649.0,,325
Карлов Университет в Праге,235,Чехия,3461.0,3461.0,3461.0,248,403,326
Берлинский технический университет,236,Германия,643.0,321.5,,154,136,236
Университет Квинс в Белфасте,237,Великобритания,20882.0,19386.0,24334.5,202,327
Университет Кёльна,238,Германия,541.0,270.5,,268,160,186
Университет Кёртин,239,Австралия,23283.0,23448.0,,183,223
Национальный университет Цзяотун,240,Тайвань,1000.0,1000.0,
Университет Оттавы,241,Канада,28823.0,25305.5,,203,177,237
Университет Твенте,242,Нидерланды,11899.0,14062.5,,210,184,408
Харбинский технологический университет,243,Китай,4005.0,4621.0,,256,168,133
Университет им. Фридриха - Александра в Эрлангене и Нюрнберге,244,Германия,1000.0,1000.0,,229,193,238
Университет Ханянг,245,Республика Корея,9233.0,9779.5,,164,307,239
Инсбрукский Университет имени Леопольда и Франца,246,Австрия,1573.0,786.5,2434.0,362,328
Университет Помпеу Фабра,247,Испания,9937.0,9368.5,13876.0,224,329
Университет Кампинаса,248,Бразилия,1000.0,1000.0,,220,357,409
Университет штата Айова,249,США,27473.5,14922.0,,400,358,410
Антверпенский университет,250,Бельгия,3353.0,2158.0,,248,240
Университет Чили,251,Чили,4999.0,5998.5,,159,802,411
Джорджтаунский университет,252,США,44988.0,42988.5,,297,187,412
Сиднейский Технологический университет,253,Австралия,23745.0,22623.5,,90,148,241
Университет Пизы,254,Италия,5409.0,2897.0,4582.0,349,404,187
Университет Виктории,255,Канада,19524.0,10500.0,12169.0,322,359,330
Университет Кэйо,256,Япония,5361.0,5616.5,,214,601,331
Национальный университет Чэн Гун,257,Тайвань,2204.0,2319.0,,228,502,332
Университет Лаваль,258,Канада,24501.0,23824.0,,441,259,333
Университет Джорджа Вашингтона,259,США,48987.0,37990.0,,340,225,242
Университет Витватерсранда,260,ЮАР,3000.0,3000.0,,264,308,334
Сианьский университет Цзяо Тун,261,Китай,6915.5,6147.5,,291,260,134
Университет Турку,262,Финляндия,1000.0,4827.0,10817.5,315,309,335
Университет штата Нью-Йорк в Буффало,263,США,8998.0,9997.5,,491,336
Университет Декарта(Париж V),264,Франция,203.0,240.0,
Политехнический Институт и Государственный Университет Вирджинии,265,США,32796.5,26392.5,,302,261,243
Университет Аалто,266,Финляндия,12981.0,11088.0,13251.0,109,226,337
Кильский университет имени Христиана Альбрехта,267,Германия,1000.0,500.0,,530,310,244
Университет Ньюкасла,268,Австралия,16753.0,16753.0,,173,227,413
Университет Юлиуса-Максимилиана Вюрцбург,269,Германия,269.0,269.0,,440,245
Университет Джорджии,270,США,30039.0,27962.5,,514,338
Санкт-Петербургский государственный университет,271,Россия,2577.0,2787.5,,315,414
Университет Бата,272,Великобритания,28139.5,16982.0,25239.5,148,262,415
