Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Университет епископа Стюарта,14392,Уганда,1000.0,1000.0,
Институт фармации и технологий Салипур,14393,Индия,,,
Университет искусств и дизайна Клуж-Напока,14394,Румыния,5000.0,5000.0,
Университетский центр Санто-Антонио,14395,Бразилия,,,
Инженерно-технологический институт Бхимаварама,14396,Индия,,,
"Университетский центр AlbaNova, Королевский технологический институт и Стокгольмский университет",14397,Швеция,,,
Олимпийский колледж Малайзии,14398,Малайзия,,,
Центр морской экономики и логистики Erasmus,14399,Нидерланды,,,
Центр высшего образования Кампос-Жерайс CESCAGE,14400,Бразилия,,,
Викторианская ассоциация высшего образования FAVI,14401,Бразилия,,,
Факультет науки и технологий Сальвадора,14402,Бразилия,,,
Высший технологический институт Тезиутлана,14403,Мексика,,,
Богоматерь Фатимская Францисканский институт образования,14404,Бразилия,,,
Факультет Святого Камило - Рио-де-Жанейро,14405,Бразилия,,,
Университет Раффлз Искандар,14406,Малайзия,,,
Открытый университет Суботицы,14407,Сербия,,,
Государственный университет Минданао в Тави-Тави,14408,Филиппины,,,
Ставропольский институт имени В.Д. Чурсина,14409,Россия,,,
"Колледж инженерии и технологий Святого Иосифа, Палай",14410,Индия,,,
Фармацевтический колледж Гокараджу Рангараджу,14411,Индия,,,
Аньянский технологический институт,14412,Китай,,,
Калифорнийский христианский колледж,14413,США,,,
Ганноверская Высшая школа музыки и театра,14414,Германия,1000.0,1000.0,
Военно-морская академия кадетов адмирала Падильи,14415,Колумбия,,,
Общественный колледж сэра Артура Льюиса,14416,Сент-Люсия,,,
Университетский колледж менеджмента и дизайна Аспира,14417,Хорватия,,,
Факультет будущего,14418,Бразилия,,,
Технологический колледж FATEC Гарса,14419,Бразилия,,,
Федеральный политехнический институт Муби,14420,Нигерия,,,
Христианский колледж Новой надежды,14421,США,9997.0,9997.0,
Фонд Университета Авраама Эскудеро Монтойя,14422,Колумбия,,,
Образовательный муниципалитет Белу-Жардим,14423,Бразилия,,,
Технологический факультет FATEC,14424,Бразилия,,,
Университет Святого Иоанна,14425,Таиланд,,,
Университетская корпорация Санта-Роса-де-Кабал,14426,Колумбия,,,
Факультет Капивари FUCAP,14427,Бразилия,,,
Колледж Нагиндас Кхандвала Малад,14428,Индия,,,
Шицзячжуанский профессионально-технический колледж,14429,Китай,,,
Педагогический университет Шаффхаузена,14430,Швейцария,,,
DIT,14431,Восточный Тимор,,,
Медицинская школа Университета Дебрецена и Центр медицинских наук,14432,Венгрия,,,
Лондонская художественная школа города и гильдий,14433,Великобритания,,,
Международный колледж INPENS,14434,Малайзия,,,
Институт образования Святой Анны,14435,Бразилия,,,
Высший институт образования PRÓ-SABER,14436,Бразилия,,,
Институт высшего образования Баии,14437,Бразилия,,,
Колледж Жуселино Кубичек,14438,Бразилия,,,
Высшие научно-технические учреждения,14439,Марокко,,,
Донской юридический институт,14440,Россия,,,
Университет Баня-Луки Факультет естественных наук и математики,14441,Босния,,,
Медицинский и стоматологический колледж шейха Халифы бин Заида Аль Нахайяна в Лахоре,14442,Пакистан,,,
Университет Неру Грам Бхарти,14443,Индия,,,
Технологический институт Ситакуаро,14444,Мексика,,,
CATHEDRAL Факульдадес Кафедральный собор Барра-ду-Гарсас,14445,Бразилия,,,
Факультет Святого Бенедикта Рио-де-Жанейро,14446,Бразилия,,,
Факультет Ролим де Моура FAROL,14447,Бразилия,,,
Общественный колледж Глена Оукса,14448,США,6190.0,,
Банковский университет Мексики,14449,Мексика,,,
Международная школа туризма/Международный университет профессий,14450,Мексика,,,
Институт сельского хозяйства и развития сельских районов Тантай Ровер,14451,Индия,,,
Среднеатлантический христианский университет,14452,США,9997.0,9997.0,
Индийский горный университет,14453,Индия,856.5,833.0,,761
Университет Андрея Сагуны в Констанце,14454,Румыния,,,
Инженерный колледж Анурадха,14455,Индия,,,
Институт прикладного богословия,14456,Бразилия,,,
Вильнюсский колледж дизайна,14457,Литва,,,
Общественный колледж Луны,14458,США,2569.0,,
Школа повышения квалификации,14459,Италия,,,
Политехнический институт Мадагаскара,14460,Мадагаскар,,,
Чэндуский университет традиционной китайской медицины,14461,Китай,,,
Южно-Сычуаньский педагогический колледж дошкольных учреждений,14462,Китай,,,
Медицинский колледж Чэнду,14463,Китай,,,
Загребский колледж прикладных вычислений,14464,Хорватия,,,
Государственный медицинский колледж Агарталы,14465,Индия,,,
Гамалиэль Колледж,14466,Бразилия,,,
Факультет прикладной теологии и философии FATEF,14467,Бразилия,,,
Факультет Гуайрака,14468,Бразилия,,,
KIST медицинский колледж,14469,Непал,,,
Национальный институт последипломного образования INPG,14470,Бразилия,,,
Медицинский колледж Белиза Университет медицинских наук Центральной Америки,14471,Белиз,10000.0,10000.0,
Тиморский университет,14472,Индонезия,,,
Яньчэнский педагогический университет,14473,Китай,,,
Южно-Российский Гуманитарный Институт,14474,Россия,,,
Колледж искусств и технологий Дельты,14475,США,,,
Архитектурная школа Фрэнка Ллойда Райта,14476,США,,,
Образовательный союз Центрального плато,14477,Бразилия,,,
Эволюционный Колледж,14478,Бразилия,,,
Факультет Ново Гамбурго-IENH Факультет,14479,Бразилия,,,
Австралийская гильдия музыкального образования,14480,Австралия,,,
Новая школа информационных услуг,14481,Нидерланды,,,
Копенгагенская школа моды и дизайна,14482,Дания,,,
Университет Махапутры Мухаммада Ямина,14483,Индонезия,,,
Медицинский колледж Сайду Сват,14484,Пакистан,,,
Школы Le Cordon Bleu в Северной Америке,14485,США,,,
Киргизский национальный университет имени Жусупа Баласагына,14486,Кыргызстан,,,
Инженерный колледж Шри Пракаша,14487,Индия,,,
Румыно-американский университет,14488,Румыния,,,
Муниципальный факультет Палоса,14489,Бразилия,,,
"Частная школа делового администрирования и права им. Авиценна, Тунис",14490,Тунис,,,
Ведомственный институт изобразительных искусств,14491,Колумбия,2500.0,2500.0,
Бекфилд Колледж,14492,США,,,
Люцернский университет,14493,Мексика,,,
Камла Рахеджа Видьянидхи Институт архитектуры и экологических исследований,14494,Индия,,,
Московский социально-экономический институт,14495,Россия,,,
Частный институт менеджмента и предпринимательства,14496,Беларусь,,,
Центр перспективных исследований Пуэрто-Рико и Карибского бассейна,14497,Пуэрто-Рико,,,
Тбилисская государственная консерватория Вано Сараджишвили,14498,Грузия,,,
Дартон Колледж,14499,США,,,
Хорремшехрский университет морских наук и технологий,14500,Иран,,,
"Институт кооперативного и корпоративного управления, исследований и обучения",14501,Индия,,,
Юридический факультет Кашуэйру-ду-Итапемирим,14502,Бразилия,,,
Баптистский теологический колледж Параны,14503,Бразилия,,,
Университетский центр Северного Сан-Паулу,14504,Бразилия,,,
Хунаньский институт внешней экономики,14505,Китай,,,
Университетский колледж авиации и технологий,14506,Тунис,,,
"Травникский университет, факультет экономики бизнеса",14507,Босния,,,
Колледж Кавери для женщин,14508,Индия,,,
Уэслианский колледж Айовы,14509,США,,,
Балдев Рам Мирдха Технологический институт,14510,Индия,,,
Амбонский государственный политехнический институт,14511,Индонезия,,,
Интегрированные колледжи Санта-Фе-ду-Сул FUNEC,14512,Бразилия,,,
Университетский центр Каратинги,14513,Бразилия,,,
Университетский центр ацтеков,14514,Мексика,,,
Университет Валье-дель-Фуэрте,14515,Мексика,,,
Технологический образовательный институт Халкиды,14516,Греция,757.0,757.0,
Эллис Колледж,14517,Канада,,,
Христианский университет Ассамблей Божьих,14518,Сальвадор,,,
Университет Дунауйварош,14519,Венгрия,,,
Колледж Южного побережья,14520,США,,,
Институт высшего образования Голпайган,14521,Иран,,,
Восточный региональный университетский центр,14522,Уругвай,,,
Армянский государственный институт физической культуры,14523,Армения,,,
Политехнический частный институт Касабланки,14524,Марокко,,,
Театр и кино Шота Руставели Университет штата Джорджия,14525,Грузия,,,
Грушевый колледж,14526,Канада,,,
Пионерский баптистский колледж,14527,Бразилия,,,
Центр высшего образования Conselheiro Lafaiete,14528,Бразилия,,,
Центр высшего образования Уберабы,14529,Бразилия,,,
Факультет философских наук и писем Алегре FAFIA,14530,Бразилия,,,
Факультет науки и технологий Биригуи,14531,Бразилия,,,
Технологический факультет Прайя-Гранде,14532,Бразилия,,,
Евклидский факультет Куньи,14533,Бразилия,,,
Факультет Сантос-Дюмон,14534,Бразилия,,,
Объединенные факультеты долины Арагуайя,14535,Бразилия,,,
Пекинский сельскохозяйственный колледж,14536,Китай,,,
HI-TECH Инженерный колледж Бхубанешвара,14537,Индия,,,
FACCREI- FACED Университетский ансамбль Корнелиуса Прокопио,14538,Бразилия,,,
Творческий центр,14539,США,,,
Общественный колледж Донг Тхап,14540,Вьетнам,,,
Нови-Пазарский университет,14541,Сербия,2500.0,2500.0,
Высшая технологическая школа искусств Деборы Аранго,14542,Колумбия,,,
Центр инженерного образования дорожных покрытий,14543,Австралия,,,
Санкт Петербургский христианский университет,14544,Россия,,,
Российский государственный торгово-экономический университет Воронежский филиал,14545,Россия,,,
Факультет Сан-Паулу,14546,Бразилия,,,
Интегрированные факультеты Tapajós FIT,14547,Бразилия,,,
Факультет Святых Таинств,14548,Бразилия,,,
Колледж Божественного Слова,14549,США,,,
Отдел высшего образования Dom Bosco UNDB,14550,Бразилия,,,
Институт высшего образования Рудаки,14551,Иран,,,
Факультет Пантанала FAPAN,14552,Бразилия,,,
"Университет Сплита, факультет морских исследований",14553,Хорватия,,,
Северо-западный колледж искусств и дизайна,14554,США,,,
Технологический университет генерала Мариано Эскобедо,14555,Мексика,,,
Университет Санто-Томас-Вильявисенсио,14556,Колумбия,,,
Частная юридическая школа Пуэблы,14557,Мексика,,,
Технологический факультет Американы FATEC,14558,Бразилия,,,
Федеральный институт педагогических наук и технологий Сан-Паулу,14559,Бразилия,,,
Фонд высшего образования Пассоса,14560,Бразилия,,,
Международная школа гостиничного менеджмента Blue Mountains,14561,Австралия,,,
Университет Арубы,14562,Аруба,1388.0,1665.5,
Кшатрийский инженерный колледж,14563,Индия,,,
Общественный колледж Памлико,14564,США,,,
Университет знаний Арьябхатты,14565,Индия,,,
Заполярный Филиал Ленинградского государственного Университета А С Пушкина,14566,Россия,,,
Карнатакский государственный открытый университет,14567,Индия,,,
Инженерный колледж Шри Будды,14568,Индия,,,
Колледж высшего образования Сан-Мигель-ду- FAESI,14569,Бразилия,,,
Институт высшего образования провинции Пернамбуку,14570,Бразилия,,,
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,14571,Индия,2500.0,2500.0,
Травникский университет,14572,Босния,,,
Архиепископский колледж Марианы,14573,Бразилия,,,
Институт высшего образования Американы,14574,Бразилия,,,
Институт экономики и управления (г. Пятигорск),14575,Россия,,,
Кубанский медицинский институт,14576,Россия,,,
Университет Софиахеммет,14577,Швеция,,,
"Педагогический колледж для женщин Фазайя, Лахор",14578,Пакистан,,,
Колледж Нарасинья Датт,14579,Индия,,,
Университетская школа бизнес-ИТ-инженерии,14580,Испания,,,
Бостонский баптистский колледж,14581,США,12597.0,,
Европейская школа университетов и бизнес-исследований,14582,Испания,,,
Общественный колледж Мэхонгсона,14583,Таиланд,,,
Институт высших исследований штата Чьяпас,14584,Мексика,,,
Факультет бизнес-наук FACEMP,14585,Бразилия,,,
Факультеты FESP,14586,Бразилия,,,
Колледж Серра-ду-Карму,14587,Бразилия,,,
Норильский Индустриальный Институт,14588,Россия,,,
Шахриар Астара институт высшего образования,14589,Иран,,,
Базовый университет,14590,Филиппины,,,
"Высшая школа информатизации, телекоммуникаций и ESTEM",14591,Марокко,,,
Мадурайский медицинский колледж,14592,Индия,,,
Казахская автомобильно-дорожная академия Л.Б.Гончарова,14593,Казахстан,,,
Государственный инженерный колледж Идукки,14594,Индия,,,
Гедарефский университет,14595,Судан,,,
Кингстонский библейский колледж,14596,Канада,,,
Колледж Исткейп-Мидлендс,14597,ЮАР,,,
Университетский колледж знаний,14598,Ирак,,,
Багдадский колледж экономических наук,14599,Ирак,,,
Университет Америки в Мехико,14600,Мексика,,,
МультиГекса Колледж,14601,Канада,,,
Тринити-колледж Флориды,14602,США,12497.0,12497.0,
Высшая школа народных искусств,14603,Россия,,,
Образовательный город Шехавати Дундлод,14604,Индия,,,
"Университет Сингидунум, факультет экономики, финансов и управления",14605,Сербия,,,
Ибероамериканский университет Пуэблы,14606,Мексика,,,
Университетский колледж в Бускеруде и Вестфолле,14607,Норвегия,,,
Апекс институт менеджмента,14608,Индия,,,
Дакарский университет Бургибы,14609,Сенегал,,,
Haraldsplass Diakonale Høgskole,14610,Норвегия,,,
Епископальный университет Гаити,14611,Гаити,,,
Технологический колледж Уильяма Мура,14612,США,,,
Университет Манубы Высшая школа электронной коммерции Манубы,14613,Тунис,,,
Cоликамский Государственный Педагогический Институт,14614,Россия,,,
Центр перспективных исследований в области образования,14615,Мексика,,,
Исламский университет Азад Салмас,14616,Иран,,,
Шэньянский университет,14617,Китай,2785.5,3166.0,
Общественный колледж Алпены,14618,США,7108.0,,
Латвийская академия национальной обороны,14619,Латвия,,,
Пенджабский юридический колледж,14620,Пакистан,,,
Медицинский факультет Университета Ауреус,14621,Аруба,5000.0,5000.0,
Институт текстильных технологий штата Уттар-Прадеш,14622,Индия,,,
Университет церковной музыки протестантской региональной церкви в Бадене,14623,Германия,,,
Университет управления и технологий Махариши,14624,Индия,,,
Колледж медицины и стоматологии Лиакат,14625,Пакистан,,,
Университет Мирдамада в Горгане,14626,Иран,,,
Черновицкий медицинский колледж,14627,Украина,,,
Колледж Осул-ад-Дин,14628,Иран,,,
Колледж искусств и наук К. С. Рангасами,14629,Индия,,,
Библейский колледж Аляски,14630,США,,,
Университет Маунт Меру,14631,Танзания,,,
Högskolan на Аландских островах,14632,Финляндия,1000.0,1000.0,
Университет педагогического образования Вале,14633,Швейцария,,,
Воткинский Филиал Удмуртский государственный университет,14634,Россия,,,
Чжэцзянский океанический университет,14635,Китай,,,
Университет Вилласунсьон,14636,Мексика,,,
Колледж Днянасадхана Тане,14637,Индия,,,
Реформатская университетская корпорация,14638,Колумбия,,,
Университетский колледж Стеллы Марис Мтвара,14639,Танзания,,,
Киевский Национальный Университет Технологий и Дизайна,14640,Украина,,,
Институт бизнеса и медицинской карьеры,14641,США,,,
Общественный колледж Блэкфут,14642,США,,,
Институт специализации руководителей,14643,Мексика,,,
Инженерно-технологический колледж RVS Коимбатур,14644,Индия,,,
Венгерская академия танца MTF,14645,Венгрия,7500.0,7500.0,
Государственная консерватория Салоников,14646,Греция,,,
Американский технологический университет,14647,Мексика,,,
Общественный колледж Раппаханнок,14648,США,,,
Тамбовское региональное отделение Общероссийской общественной организации Ассоциация юристов России,14649,Россия,,,
Межкультурный университет штата Мехико,14650,Мексика,,,
Университет науки и технологий Нуэва-Эсиха,14651,Филиппины,1000.0,1000.0,
Общественный колледж Белых гор,14652,США,,,
Университетский центр Доктор Эмилио Карденас,14653,Мексика,,,
Национальный центр циркового искусства,14654,Великобритания,,,
Католический университет Зимбабве,14655,Зимбабве,,,
Улан-Баторский университет,14656,Монголия,,,
Овальный кабинет исследований и исследований,14657,Иордания,,,
Башкирский институт физической культуры,14658,Россия,,,
Университет Западной Дельты,14659,Нигерия,,,
Международный институт менеджмента ЛИНК Москва,14660,Россия,,,
Морская академия Азии и Тихого океана Камая Пойнт,14661,Филиппины,,,
Университет Сан Агустина,14662,Филиппины,,,
Педагогический колледж Агбора,14663,Нигерия,,,
Центр последипломного образования Чиуауа,14664,Мексика,,,
Испанский университет,14665,Мексика,,,
"Бизнес-школа Лаудера, Университет прикладных наук",14666,Австрия,1000.0,1000.0,
Апостольский университетский колледж Христа,14667,Гана,,,
Школа анестезии Среднего Теннесси,14668,США,,,
Государственный университет Капиза,14669,Филиппины,1000.0,1000.0,
Военный университет Министерства обороны,14670,Россия,,,
Оренбургский государственный институт искусств Л и М Ростроповичей,14671,Россия,,,
Технологический институт медицинских работников Сальвадора,14672,Сальвадор,,,
Колледж Хар Прасад Дас Джайн Ара Бихар,14673,Индия,,,
Инженерный колледж APS,14674,Индия,,,
Веспремский архиепископский колледж религиоведения VHF,14675,Венгрия,,,
Американская международная школа медицины,14676,Гайана,,,
Колледж Мотилала Неру,14677,Индия,,,
Хьюстонская высшая школа богословия,14678,США,,,
Западный международный университет,14679,США,9997.0,9997.0,
Каменный детский колледж,14680,США,2644.0,,
Высший технологический институт Коацакоалькоса,14681,Мексика,,,
Университет CENFOTEC,14682,Коста-Рика,,,
Филиппинский университет Паччоли,14683,Мексика,,,
Кипрский колледж,14684,Кипр,,,
Образовательная корпорация Высший технический институт искусств,14685,Колумбия,,,
Центр международного образования Вьетнамского национального университета,14686,Вьетнам,,,
Университет Альбштадт-Зигмаринген,14687,Германия,1000.0,1000.0,
Колледж Лафлеш,14688,Канада,,,
Частный университет Серхио Берналеса,14689,Перу,,,
Свободная академия изящных искусств Брешиа,14690,Италия,,,
Национальный институт социального развития,14691,Шри-Ланка,,,
Международный колледж Голденгейт,14692,Непал,,,
Политехнический университет Сан-Луис-Потоси,14693,Мексика,,,
Колледж Раджапарк,14694,Таиланд,,,
Шанхайский институт физического воспитания,14695,Китай,,,
Королевский валлийский колледж музыки и драмы,14696,Великобритания,,,
Парк Технологического Колледжа Коимбатура,14697,Индия,,,
Мемориальный колледж Махатмы Ганди Удупи,14698,Индия,,,
Факультет доктора Франсиско Маэда,14699,Бразилия,,,
Димитри Кантемир Университет Тыргу-Муреш,14700,Румыния,,,
Военно-морская академия Тайваня,14701,Тайвань,,,
Приамурский институт агроэкономики и бизнеса,14702,Россия,,,
Университет Джемаль Биедич Мостар Факультет информационных технологий,14703,Босния,,,
Военная академия войсковой противовоздушной обороны Вооруженных Сил Российской Федерации Маршала Советского Союза А М Василевского,14704,Россия,,,
Научно-исследовательский институт коммуникации и культуры,14705,Мексика,,,
Национальная академия искусств,14706,Болгария,,,
Школа балета и современного танца Рамбер,14707,Великобритания,,,
Дальневосточный университет Кавите,14708,Филиппины,,,
Северный филиал Российского государственного университета инновационных технологий и предпринимательства,14709,Россия,,,
Восточно-центральный общественный колледж,14710,США,5249.0,,
Международная академия философии в Княжестве Лихтенштейн,14711,Лихтенштейн,,,
Технологический и педагогический университет Хунг Йен,14712,Вьетнам,,,
Школа иностранных языков Сунцзян Шанхайского университета международных исследований,14713,Китай,,,
Академия художеств в Банской Быстрице,14714,Словакия,1000.0,1000.0,
Общественный колледж Сонгкхла,14715,Таиланд,,,
Армейский государственный колледж управления и наук,14716,Пакистан,,,
Исламский университет Азад Семиром,14717,Иран,,,
Тираспольский государственный университет,14718,Молдавия,,,
Байкальский экономико-правовой институт,14719,Россия,,,
Исламский университет Азад Харанд,14720,Иран,,,
Ростовский государственный строительный университет,14721,Россия,,,
IES Group of Institution Бхопал,14722,Индия,,,
Камакура женский университет,14723,Япония,,,
Медицинский колледж MAG Османи,14724,Бангладеш,,,
Университет Багамойо,14725,Танзания,,,
Вятский государственный гуманитарный университет,14726,Россия,2500.0,2500.0,
Высшая школа инженерии в области прикладных наук ESISA,14727,Марокко,,,
Мехсана Урбан Банк Институт биологических наук,14728,Индия,,,
филиал Московский государственный машиностроительный университет в п. Тучково Московской области,14729,Россия,,,
MS Bidve Engineering College Latur,14730,Индия,,,
Испано-американский колледж,14731,Мексика,,,
Педагогический университет Цзуньи,14732,Китай,,,
Австралийский лютеранский колледж,14733,Австралия,,,
Университет Хваджи Юнуса Али,14734,Бангладеш,,,
Международный университет Манав Рахна,14735,Индия,,,
Слобомирский ПГУ / Ваш ВУЗ,14736,Босния,5000.0,5000.0,
Altai Institute of Labour and Law of the Academy of Labor and Social Relations,14737,Россия,,,
Владикавказский Институт Управления,14738,Россия,1000.0,1000.0,
Национальная высшая школа политических наук,14739,Алжир,,,
"Колледж прикладных технологий Теннесси, Нэшвилл",14740,США,,,
Колледж иностранных языков имени Самуэля Богумила Линде в Познани,14741,Польша,,,
Архангельский педагогический колледж,14742,Россия,,,
Государственный модельный научный колледж,14743,Индия,,,
Исламский университет Макассара,14744,Индонезия,,,
Евангелическая семинария Пуэрто-Рико,14745,Пуэрто-Рико,,,
Средиземноморский институт обучения и исследований в области социальной работы,14746,Франция,,,
Исследовательский институт американских исследований Университета Бенджамина Франклина,14747,Испания,,,
Институт Мировой экономики и информатизации,14748,Россия,,,
Пенсильванский колледж искусств и дизайна,14749,США,17495.0,17495.0,
Колледж DEI,14750,Греция,,,
Колледж Питхапура Раджи,14751,Индия,,,
Институт лидерства и коммуникационных исследований,14752,Марокко,,,
Пайдейский культурный институт,14753,Мексика,,,
Колледж Чан Кайши,14754,Филиппины,1000.0,1000.0,
Калифорнийский институт гуманитарных наук,14755,США,,,
Федеральный колледж защитников образования,14756,Нигерия,,,
Гандхарский университет,14757,Пакистан,,,
Королевский сельскохозяйственный университет,14758,Камбоджа,2500.0,2500.0,
"Национальная школа сельскохозяйственной инженерии Бордо, Аквитания",14759,Франция,2500.0,2500.0,
Илиффская школа богословия,14760,США,,,
Школа администрирования и маркетинга Киндио,14761,Колумбия,,,
Технический колледж Флоренс Дарлингтон,14762,США,,,
Гуанчжоуский институт физического воспитания,14763,Китай,,,
Технический общественный колледж SOWELA,14764,США,4264.0,,
Карлоу Колледж,14765,Ирландия,7996.0,5215.0,
Университет Корвинуса - Буда,14766,Венгрия,,,
Международный Славянский Институт,14767,Россия,,,
Шэньянский педагогический университет,14768,Китай,,,
Шумейский университет,14769,Япония,12500.0,12500.0,
Институт управления технологиями да Винчи,14770,ЮАР,,,
Страсбургский центр международных исследований промышленной собственности,14771,Франция,,,
Исламский университет Азад Ираншахр,14772,Иран,,,
Центр университетских исследований Монтеррея,14773,Мексика,,,
Российский государственный технологический университет имени К. Э. Циолковского,14774,Россия,,,
Новый университет Сан-Сальвадора,14775,Сальвадор,,,
Технологический институт Будды,14776,Индия,,,
Высший технологический институт Лос-Риоса,14777,Мексика,,,
Центральный университет Мексики,14778,Мексика,,,
Каракальский политехнический колледж,14779,Индия,,,
Университетский колледж Таиты Таветы,14780,Кения,,,
Университетский колледж и семинария Тейлора,14781,Канада,,,
Лондонский университет - Колледж Хейтроп,14782,Великобритания,20000.0,20000.0,
Зугдидский государственный педагогический университет им. Шота Месхия,14783,Грузия,,,
Латиноамериканский технический университет,14784,Сальвадор,,,
Международный университетский центр,14785,Мексика,,,
Всеросийская Академия Внешней Торговли Минэкономразвития России,14786,Россия,,,
Общественный колледж Ясотона,14787,Таиланд,,,
Исламский университет Азад Невшехир,14788,Иран,,,
Университет Уильяма VS Табмана,14789,Либерия,,,
Университет технологий и торговли,14790,Никарагуа,,,
Колледж Святого Августина в Южной Африке,14791,ЮАР,,,
Колледж инженерных исследований и технологий Раджива Ганди Чандрапур,14792,Индия,,,
Высший музыкальный колледж Толимы,14793,Колумбия,,,
Университет Сфакса Высший институт искусств и ремесел Сфакса,14794,Тунис,,,
KG Колледж искусств и наук,14795,Индия,,,
Инженерная школа Базелиоса Мэтьюза II,14796,Индия,,,
Университетский институт европейских исследований,14797,Испания,,,
Колледж Патна,14798,Индия,,,
"Университет Манубы Факультет литературы, искусств и гуманитарных наук Манубы",14799,Тунис,,,
Катирский инженерный колледж,14800,Индия,,,
Королевская академия изящных искусств Artesis Hogeschool Департамент моды Антверпена,14801,Бельгия,,,
Международный университет Ахлулбайт,14802,Иран,,,
Санкт-Петербургский Государственный Университет Экономики И Финансов Филиал В Г. Пскове,14803,Россия,,,
Объединенные бизнес-институты Брюсселя,14804,Бельгия,,,
Колледж Святого Иосифа,14805,США,19995.0,19995.0,
Колледж Хэ Чанг,14806,Малайзия,,,
Африканский сельский университет,14807,Уганда,1000.0,1000.0,
Марсанский колледж,14808,Канада,,,
Машиностроительный факультет,14809,Босния,,,
Ростовский институт защиты предпринимателя,14810,Россия,,,
Камла Неру Махавидьялая Нагпур,14811,Индия,,,
Институт парламентаризма и предпринимательства,14812,Беларусь,,,
"Библейский колледж Теннесси, Куквилль",14813,США,,,
Швейцарский университет бизнеса и международных исследований Женева,14814,Швейцария,,,
Университет Перспективы INT,14815,Молдавия,,,
Юго-западный университет визуальных искусств,14816,США,19995.0,19995.0,
Католический университет Левена - Кулак Кортрейк,14817,Бельгия,,,
"Колледж Маунтин-Вью, Филиппины",14818,Филиппины,,,
Выборгский Филиал университета Гражданской Авиации,14819,Россия,,,
Боливийский евангелический университет,14820,Боливия,,,
Эндрю Колледж,14821,США,,,
Колледж вечерней степени Сешадрипурам,14822,Индия,,,
Болгатангский политехнический институт,14823,Гана,,,
Технический университет Гаутамы Будды,14824,Индия,,,
Университетская бизнес-корпорация Саламанки,14825,Колумбия,,,
"Университет MIT , Скопье",14826,Македония,5000.0,5000.0,
Семинария Святого Иоанна Вианнея,14827,ЮАР,,,
Колледж Маршаллс,14828,Гана,5000.0,5000.0,
Технический университет Такоради,14829,Гана,1000.0,1000.0,
Университет Габеса Высший институт водных наук и техники Габеса,14830,Тунис,,,
Высшая школа науки и технологий дизайна Университета Манубы,14831,Тунис,,,
Альгадирский университет,14832,Иран,,,
Исламский университет Азад Аджабшир,14833,Иран,,,
Петербургский Институт Иудаики,14834,Россия,,,
Университет Уи,14835,Китай,,,
Алитусский колледж,14836,Литва,,,
Католический университет Мокпо,14837,Республика Корея,,,
Азиатский институт дизайна моды,14838,Пакистан,,,
Юго-западный христианский университет,14839,США,17035.0,14766.0,
Академия Ахбар Эль Йом,14840,Египет,,,
